Sheet: 5.2.1b
A1: [<<<](→0),B1:,C1:,D1:,E1:,F1:,G1:,H1:,I1:,J1:,K1:,L1:,M1:,N1:,O1:,P1:,Q1:,R1:,S1:,T1:,U1:,V1:
A2:,B2: NHÂP KHO THỦ CÔNG,C2:,D2:,E2:,F2:,G2:,H2:,I2:,J2:,K2:,L2:,M2:,N2:,O2:,P2:,Q2:,R2:,S2:,T2:,U2:,V2:
A3:,B3: Tạo yêu cầu,C3:,D3:,E3:,F3:,G3:,H3:,I3:,J3:,K3:,L3:,M3:,N3:,O3:,P3:,Q3:,R3:,S3:,T3:,U3:,V3:
A4:,B4:,C4:,D4:,E4:,F4:,G4:,H4:,I4:,J4:,K4:,L4:,M4:,N4:,O4:,P4:,Q4:,R4:,S4:,T4:,U4:,V4:
A5:,B5: 1,C5: 2,D5:,E5: 1,F5: 2,G5: 3,H5: 4,I5: 5,J5: 6,K5: 7,L5: 8,M5: 9,N5: 10,O5: 11,P5: 12,Q5: 13,R5: 14,S5: 15,T5: 16,U5: 17,V5:
A6:,B6: 1. Tạo yêu cầu, đính kèm, xem lại yêu cầu,C6: 1,D6:,E6: Data,F6:,G6:,H6:,I6:,J6:,K6:,L6:,M6:,N6:,O6:,P6:,Q6:,R6: Status,S6: Notification,T6: Template,U6: Biz rule,V6:
A7:,B7:,C7: 2,D7:,E7: Tab/section,F7: Operator,G7: Action,H7: Field name VN,I7: M/O,J7: Field type,K7: Editable,L7: Max length,M7: Format,N7: Default value,O7: LOV,P7: Data source,Q7: Data rule,R7:,S7:,T7:,U7:,V7:
A8:,B8:,C8: AMP,D8:,E8:,F8: User,G8: Select,H8: Tạo,I8: M,J8: Button,K8: N,L8:,M8:,N8:,O8:,P8:,Q8:,R8:,S8:,T8:,U8:,V8:
A9:,B9:,C9:,D9:,E9: Thông tin chung,F9:,G9:,H9:,I9:,J9:,K9:,L9:,M9:,N9:,O9:,P9:,Q9:,R9:,S9:,T9:,U9:,V9:
A10:,B10:,C10:,D10:,E10:,F10: System,G10: Display,H10: Số yêu cầu,I10: M,J10: Text,K10: N,L10: 50,M10: NK.YY.xxxx,N10:,O10:,P10:,Q10: YY = Year, xxxx = số chạy từ 1-9999 không dùng lại,R10:,S10:,T10:,U10:,V10:
A11:,B11:,C11:,D11:,E11:,F11: System,G11: Display,H11: Ngày tạo,I11: M,J11: Date,K11: N,L11: 50,M11: MM.DD.YYYY,N11: Today,O11:,P11:,Q11:,R11:,S11:,T11:,U11:,V11:
A12:,B12:,C12:,D12:,E12:,F12: User,G12: Input,H12: Tiêu đề,I12: O,J12: Text,K12: Y,L12: 150,M12:,N12:,O12:,P12:,Q12:,R12:,S12:,T12:,U12:,V12:
A13:,B13:,C13:,D13:,E13:,F13: User,G13: Select,H13: Thêm tài sản,I13: M,J13: Button,K13: N,L13:,M13:,N13:,O13:,P13:,Q13:,R13:,S13:,T13:,U13:,V13:
A14:,B14:,C14:,D14:,E14: Tìm kiếm tài sản,F14:,G14:,H14:,I14:,J14:,K14:,L14:,M14:,N14:,O14:,P14:,Q14:,R14:,S14:,T14:,U14:,V14:
A15:,B15:,C15:,D15:,E15:,F15: User,G15: Input,H15: Mã tài sản,I15: O,J15: Text,K15: N,L15: 20,M15:,N15:,O15:,P15:,Q15:,R15:,S15:,T15:,U15:,V15:
A16:,B16:,C16:,D16:,E16:,F16: User,G16: Input,H16: Tên tài sản,I16: O,J16: Text,K16: Y,L16: 20,M16:,N16:,O16:,P16:,Q16:,R16:,S16:,T16:,U16:,V16:
A17:,B17:,C17:,D17:,E17:,F17: User,G17: Select,H17: Phân loại tài sản,I17: O,J17: List,K17: N,L17: 20,M17:,N17:,O17:,P17:,Q17:,R17:,S17:,T17:,U17:,V17:
A18:,B18:,C18:,D18:,E18:,F18: User,G18: Select,H18: Nhóm tài sản,I18: O,J18: List,K18: N,L18: 20,M18:,N18:,O18:,P18:,Q18:,R18:,S18:,T18:,U18:,V18:
A19:,B19:,C19:,D19:,E19:,F19: User,G19: Input,H19: PO number,I19: O,J19: Text,K19: Y,L19: 20,M19:,N19:,O19:,P19:,Q19:,R19:,S19:,T19:,U19:,V19:
A20:,B20:,C20:,D20:,E20:,F20: User,G20: Select,H20: Trạng thái TS,I20: O,J20: List,K20: N,L20: 50,M20:,N20:,O20:,P20:,Q20:,R20:,S20:,T20:,U20:,V20:
A21:,B21:,C21:,D21:,E21:,F21: User,G21: Select,H21: Tên nhà cung cấp,I21: O,J21: List,K21: N,L21: 50,M21:,N21:,O21:,P21:,Q21:,R21:,S21:,T21:,U21:,V21:
A22:,B22:,C22:,D22:,E22:,F22: User,G22: Input,H22: Tên kho,I22: O,J22: List,K22: Y,L22: 50,M22:,N22:,O22:,P22:,Q22:,R22:,S22:,T22:,U22:,V22:
A23:,B23:,C23:,D23:,E23:,F23: User,G23: Select,H23: Vị trí đặt tài sản,I23: O,J23: Text,K23: N,L23: 100,M23:,N23:,O23:,P23:,Q23:,R23:,S23:,T23:,U23:,V23:
A24:,B24:,C24:,D24:,E24: DS kết quả tìm kiếm,F24:,G24:,H24:,I24:,J24:,K24:,L24:,M24:,N24:,O24:,P24:,Q24:,R24:,S24:,T24:,U24:,V24:
A25:,B25:,C25:,D25:,E25:,F25: System,G25: Display,H25: Mã tài sản,I25: M,J25:,K25: N,L25:,M25:,N25:,O25:,P25:,Q25: Hiển thị mặc định,R25:,S25:,T25:,U25:,V25:
A26:,B26:,C26:,D26:,E26:,F26: System,G26: Display,H26: Tên Tài sản,I26: M,J26:,K26: N,L26:,M26:,N26:,O26:,P26:,Q26: Hiển thị mặc định,R26:,S26:,T26:,U26:,V26:
A27:,B27:,C27:,D27:,E27:,F27: System,G27: Display,H27: Mô tả TS,I27: M,J27:,K27: N,L27:,M27:,N27:,O27:,P27:,Q27: Hiển thị mặc định,R27:,S27:,T27:,U27:,V27:
A28:,B28:,C28:,D28:,E28:,F28: System,G28: Display,H28: Trạng thái TS,I28: M,J28:,K28: N,L28:,M28:,N28:,O28:,P28:,Q28: Hiển thị mặc định,R28:,S28:,T28:,U28:,V28:
A29:,B29:,C29:,D29:,E29:,F29: System,G29: Display,H29: Phân nhóm TS (group name),I29: M,J29:,K29: N,L29:,M29:,N29:,O29:,P29:,Q29: Hiển thị mặc định,R29:,S29:,T29:,U29:,V29:
A30:,B30:,C30:,D30:,E30:,F30: System,G30: Display,H30: Nhóm TS (CAT1),I30: M,J30:,K30: N,L30:,M30:,N30:,O30:,P30:,Q30: Hiển thị mặc định,R30:,S30:,T30:,U30:,V30:
A31:,B31:,C31:,D31:,E31:,F31: System,G31: Display,H31: Số PO,I31: M,J31:,K31: N,L31:,M31:,N31:,O31:,P31:,Q31: Hiển thị mặc định,R31:,S31:,T31:,U31:,V31:
A32:,B32:,C32:,D32:,E32:,F32: System,G32: Display,H32: Tên nhà cung cấp,I32: O,J32:,K32: N,L32:,M32:,N32:,O32:,P32:,Q32: Ẩn hiện tùy biến,R32:,S32:,T32:,U32:,V32:
A33:,B33:,C33:,D33:,E33:,F33: System,G33: Display,H33: Nguyên giá TS (VAT incl),I33: M,J33:,K33: N,L33:,M33:,N33:,O33:,P33:,Q33: Ẩn hiện tùy biến,R33:,S33:,T33:,U33:,V33:
A34:,B34:,C34:,D34:,E34:,F34: System,G34: Display,H34: Mã TS liên quan,I34: O,J34:,K34: N,L34:,M34:,N34:,O34:,P34:,Q34: Ẩn hiện tùy biến,R34:,S34:,T34:,U34:,V34:
A35:,B35:,C35:,D35:,E35:,F35: System,G35: Display,H35: Mô tả TS liên quan,I35: O,J35:,K35: N,L35:,M35:,N35:,O35:,P35:,Q35: Ẩn hiện tùy biến,R35:,S35:,T35:,U35:,V35:
