Sheet: Status
A1: [<<<](→0),B1: STATUS,C1:,D1:,E1:,F1:,G1:,H1:,I1:
A51:,B51:,C51: 5. Kiểm soát kết quả thanh lý,D51: Checker,E51: Từ chối,F51: Từ chối,G51:,H51:,I51:
A52:,B52:,C52:,D52:,E52: Yêu cầu bổ sung thông tin,F52: Bổ sung thông tin,G52:,H52:,I52:
A53:,B53:,C53:,D53:,E53: Đồng ý,F53: Chờ phê duyệt kết quả thanh lý,G53:,H53:,I53:
A54:,B54:,C54: 6. Phê duyệt kết quả thanh lý,D54: Approver,E54: Từ chối,F54: Từ chối,G54:,H54:,I54:
A55:,B55:,C55:,D55:,E55: Yêu cầu bổ sung thông tin,F55: Bổ sung thông tin,G55:,H55:,I55:
A56:,B56:,C56:,D56:,E56: Đồng ý,F56: Đã phê duyệt kết quả thanh lý,G56:,H56: Đã thanh lý,I56:
A57:,B57:,C57: 7. Tạo yêu cầu xuất kho,D57: System,E57: Send,F57: Đã cập nhật kết quả thanh lý,G57: Chờ xuất kho,H57: Đã thanh lý,I57:
A58:,B58:,C58: 7.1 View yêu cầu xuất kho,D58: AMP,E58: Hủy,F58: Đã hủy,G58: Đã hủy,H58: Trả lại trạng thái ban đầu trước khi thanh lý,I58:
A59:,B59:,C59:,D59:,E59:,F59:,G59:,H59:,I59:
A60:,B60:,C60: 8. Tiếp nhận yêu cầu xuất kho,D60: WK,E60: Đồng ý,F60: Đã cập nhật kết quả thanh lý,G60: Chờ phê duyệt,H60: Đã thanh lý,I60:
A61:,B61:,C61: 9. Phê duyệt yêu cầu xuât kho,D61: Warehouse Mgr.,E61: Phê duyệt,F61: Đã cập nhật kết quả thanh lý,G61: Chờ xác nhận,H61: Đã thanh lý,I61:
A62:,B62:,C62: 10. Nhận hàng,D62: AMP,E62: Từ chối,F62: Từ chối,G62: Từ chối,H62: Trả lại trạng thái ban đầu trước khi thanh lý,I62:
A63:,B63:,C63:,D63:,E63: Xác nhận,F63: Đã cập nhật kết quả thanh lý,G63: Đã xác nhận,H63: Đã thanh lý,I63:
A64:,B64: Điều chuyển tài sản,C64: -,D64:,E64: -,F64: Điều chuyển,G64: Nhập kho,H64:,I64:
A65:,B65: Điều chuyển về kho,C65: 1. Tạo yêu cầu,D65: BU user,E65: Lưu,F65: Đang tạo,G65:,H65:,I65:
A66:,B66:,C66:,D66:,E66: Gửi,F66: Chờ phê duyệt,G66:,H66:,I66:
A67:,B67:,C67: 2. Phê duyệt yêu cầu,D67: BU Head,E67: Từ chối,F67: Từ chối,G67:,H67:,I67:
A68:,B68:,C68:,D68:,E68: Yêu cầu bổ sung thông tin,F68: Bổ sung thông tin,G68:,H68:,I68:
A69:,B69:,C69:,D69:,E69: Phê duyệt,F69: Chờ xác nhận,G69:,H69:,I69:
A70:,B70:,C70: 3. Xác nhận điều chuyển,D70: AMP,E70: Từ chối,F70: Từ chối,G70:,H70:,I70:
A71:,B71:,C71:,D71:,E71: Đồng ý,F71: Đã xác nhận,G71:,H71:,I71:
A72:,B72:,C72: 4. Tạo yêu cầu nhập kho,D72: System,E72: Send,F72: Đã xác nhận,G72: Chờ phê duyệt,H72:,I72:
A73:,B73:,C73: 5. Phê duyệt nhập kho,D73: Warehouse Mgr.,E73: Từ chối,F73: Từ chối,G73: Từ chối,H73:,I73:
A74:,B74:,C74:,D74:,E74: Phê duyệt,F74: Đã xác nhận,G74: Chờ nhập kho,H74:,I74:
A75:,B75:,C75: 6. Nhập kho tài sản,D75: WK,E75: Từ chối,F75: Từ chối,G75: Từ chối,H75:,I75:
A76:,B76:,C76:,D76:,E76: Xác nhận,F76: Đã xác nhận,G76: Đã xác nhận,H76: Đã nhập kho,I76:
A77:,B77: Điều chuyển giữa các kho,C77: 1. Tạo yêu cầu,D77: AMP,E77: Lưu,F77: Đang tạo,G77:,H77:,I77:
A78:,B78:,C78:,D78:,E78: Gửi,F78: Chờ phê duyệt,G78:,H78:,I78:
A79:,B79:,C79: 2. Phê duyệt yêu cầu,D79: AM, Warehouse Mgr.,E79: Từ chối,F79: Từ chối,G79:,H79:,I79:
A80:,B80:,C80:,D80:,E80: Phê duyệt,F80: Đã phê duyệt,G80:,H80:,I80:
A81:,B81:,C81: 3.Tạo biên bản nhập kho,D81: System,E81: Send,F81:,G81:,H81:,I81:
A82:,B82:,C82: 4.Giao tài sản,D82: WK kho đi,E82:,F82:,G82:,H82:,I82:
A83:,B83:,C83: 5.Nhận tài sản,D83: WK kho đến,E83:,F83:,G83:,H83:,I83:
A84:,B84:,C84:,D84:,E84:,F84:,G84:,H84:,I84:
A85:,B85:,C85:,D85:,E85:,F85:,G85:,H85:,I85:
A86:,B86:,C86:,D86:,E86:,F86:,G86:,H86:,I86:
