Sheet: 5.1.1b (2)
A1: [<<<](→0),B1:,C1:,D1:,E1:,F1:,G1:,H1:,I1:,J1:,K1:,L1:,M1:,N1:,O1:,P1:,Q1:,R1:,S1:,T1:,U1:,V1:
A30:,B30:,C30:,D30:,E30: Thông tin chung,F30:,G30:,H30:,I30:,J30:,K30:,L30:,M30:,N30:,O30:,P30:,Q30:,R30:,S30:,T30:,U30:,V30:
A31:,B31:,C31:,D31:,E31:,F31: System,G31: Display,H31: Loại điều chuyển,I31: M,J31: Text,K31: N,L31:,M31:,N31:,O31:,P31:,Q31:,R31:,S31:,T31:,U31:,V31:
A32:,B32:,C32:,D32:,E32:,F32: System,G32: Display,H32: Số yêu cầu,I32: M,J32: Text,K32: N,L32:,M32:,N32:,O32:,P32:,Q32:,R32:,S32:,T32:,U32:,V32:
A33:,B33:,C33:,D33:,E33:,F33: System,G33: Display,H33: Ngày tạo,I33: M,J33: Date,K33: N,L33:,M33:,N33:,O33:,P33:,Q33:,R33:,S33:,T33:,U33:,V33:
A34:,B34:,C34:,D34:,E34:,F34: System,G34: Display,H34: Tiêu đề,I34: M,J34: Text,K34: N,L34:,M34:,N34:,O34:,P34:,Q34:,R34:,S34:,T34:,U34:,V34:
A35:,B35:,C35:,D35:,E35: DS tài sản,F35:,G35:,H35:,I35:,J35:,K35:,L35:,M35:,N35:,O35:,P35:,Q35:,R35:,S35:,T35:,U35:,V35:
A36:,B36:,C36:,D36:,E36:,F36: System,G36: Display,H36: Mã tài sản,I36: M,J36:,K36: N,L36:,M36:,N36:,O36:,P36:,Q36:,R36:,S36:,T36:,U36:,V36:
A37:,B37:,C37:,D37:,E37:,F37: System,G37: Display,H37: Tên Tài sản,I37: M,J37:,K37: N,L37:,M37:,N37:,O37:,P37:,Q37:,R37:,S37:,T37:,U37:,V37:
A38:,B38:,C38:,D38:,E38:,F38: System/User,G38: Display/Edit,H38: Mô tả TS,I38: M,J38:,K38: N,L38:,M38:,N38:,O38:,P38:,Q38:,R38:,S38:,T38:,U38:,V38:
A39:,B39:,C39:,D39:,E39:,F39: System,G39: Display,H39: Phân nhóm TS (group name),I39: M,J39:,K39: N,L39:,M39:,N39:,O39:,P39:,Q39:,R39:,S39:,T39:,U39:,V39:
A40:,B40:,C40:,D40:,E40:,F40: System,G40: Display,H40: Nhóm TS (CAT1),I40: M,J40:,K40: N,L40:,M40:,N40:,O40:,P40:,Q40:,R40:,S40:,T40:,U40:,V40:
A41:,B41:,C41:,D41:,E41:,F41: System,G41: Display,H41: Mã TS liên quan,I41: O,J41:,K41: N,L41:,M41:,N41:,O41:,P41:,Q41:,R41:,S41:,T41:,U41:,V41:
A42:,B42:,C42:,D42:,E42:,F42: System,G42: Display,H42: Mô tả TS liên quan,I42: O,J42:,K42: N,L42:,M42:,N42:,O42:,P42:,Q42:,R42:,S42:,T42:,U42:,V42:
A43:,B43:,C43:,D43:,E43:,F43: System,G43: Display,H43: Nguyên giá TS (VAT incl),I43: M,J43:,K43: N,L43:,M43:,N43:,O43:,P43:,Q43:,R43:,S43:,T43:,U43:,V43:
A44:,B44:,C44:,D44:,E44:,F44: System,G44: Display,H44: Số PO,I44: M,J44:,K44: N,L44:,M44:,N44:,O44:,P44:,Q44:,R44:,S44:,T44:,U44:,V44:
A45:,B45:,C45:,D45:,E45:,F45: System,G45: Display,H45: Trạng thái TS,I45: M,J45:,K45: N,L45:,M45:,N45:,O45:,P45:,Q45:,R45:,S45:,T45:,U45:,V45:
