Sheet: 5.7.2b (2)
A1: [<<<](→0),B1:,C1:,D1:,E1:,F1:,G1:,H1:,I1:,J1:,K1:,L1:,M1:,N1:,O1:,P1:,Q1:,R1:,S1:,T1:,U1:,V1:
A2:,B2: ĐIỀU CHUYỂN TÀI SẢN GIỮA CÁC KHO,C2:,D2:,E2:,F2:,G2:,H2:,I2:,J2:,K2:,L2:,M2:,N2:,O2:,P2:,Q2:,R2:,S2:,T2:,U2:,V2:
A3:,B3: Phê duyệt yêu cầu điều chuyển kho,C3:,D3:,E3:,F3:,G3:,H3:,I3:,J3:,K3:,L3:,M3:,N3:,O3:,P3:,Q3:,R3:,S3:,T3:,U3:,V3:
A4:,B4:,C4:,D4:,E4:,F4:,G4:,H4:,I4:,J4:,K4:,L4:,M4:,N4:,O4:,P4:,Q4:,R4:,S4:,T4:,U4:,V4:
A5:,B5: 1,C5: 2,D5:,E5: 1,F5: 2,G5: 3,H5: 4,I5: 5,J5: 6,K5: 7,L5: 8,M5: 9,N5: 10,O5: 11,P5: 12,Q5: 13,R5: 14,S5: 15,T5: 16,U5: 17,V5:
A6:,B6: 1. Nhập thông tin tìm kiếm yêu cầu,C6: 1,D6:,E6: Data,F6:,G6:,H6:,I6:,J6:,K6:,L6:,M6:,N6:,O6:,P6:,Q6:,R6: Status,S6: Notification,T6: Template,U6: Biz rule,V6:
A7:,B7:,C7: 2,D7:,E7: Tab/section,F7: Operator,G7: Action,H7: Field name VN,I7: M/O,J7: Field type,K7: Editable,L7: Max length,M7: Format,N7: Default value,O7: LOV,P7: Data source,Q7: Data rule,R7:,S7:,T7:,U7:,V7:
A8:,B8:,C8: Approver,D8:,E8: Tìm kiếm yêu cầu,F8:,G8:,H8:,I8:,J8:,K8:,L8:,M8:,N8:,O8:,P8:,Q8:,R8:,S8:,T8:,U8:,V8:
A9:,B9:,C9:,D9:,E9:,F9: User,G9: Input,H9: Số yêu cầu,I9: O,J9: Text,K9: Y,L9: 20,M9:,N9:,O9:,P9:,Q9:,R9:,S9:,T9:,U9:,V9:
A10:,B10:,C10:,D10:,E10:,F10: User,G10: Input,H10: Ngày tạo,I10: O,J10: Date,K10: Y,L10: 20,M10:,N10:,O10:,P10:,Q10:,R10:,S10:,T10:,U10:,V10:
A11:,B11:,C11:,D11:,E11:,F11: User,G11: Input,H11: Tiêu đề,I11: O,J11: Text,K11: Y,L11: 150,M11:,N11:,O11:,P11:,Q11:,R11:,S11:,T11:,U11:,V11:
A12:,B12:,C12:,D12:,E12:,F12: User,G12: Select,H12: Người tạo,I12: O,J12: List,K12: Y,L12: 20,M12:,N12:,O12:,P12:,Q12:,R12:,S12:,T12:,U12:,V12:
A13:,B13:,C13:,D13:,E13:,F13: User,G13: Select,H13: Trạng thái yêu cầu,I13: O,J13: List,K13: Y,L13: 20,M13:,N13:,O13:,P13:,Q13:,R13:,S13:,T13:,U13:,V13:
A14:,B14:,C14:,D14:,E14:,F14: User,G14: Select,H14: Người xử lý,I14: O,J14: List,K14: Y,L14: 20,M14:,N14:,O14:,P14:,Q14:,R14:,S14:,T14:,U14:,V14:
A15:,B15:,C15:,D15:,E15:,F15: User,G15: Input,H15: Ngày xác nhận,I15: O,J15: Date,K15: Y,L15: 20,M15:,N15:,O15:,P15:,Q15:,R15:,S15:,T15:,U15:,V15:
A16:,B16: 2. Hiển thị kết quả tìm kiếm,C16: Hệ thống,D16:,E16: Danh sách yêu cầu,F16:,G16:,H16:,I16:,J16:,K16:,L16:,M16:,N16:,O16:,P16:,Q16:,R16:,S16:,T16:,U16:,V16:
A17:,B17:,C17:,D17:,E17:,F17: System,G17: Display,H17: Số yêu cầu,I17: M,J17: Text,K17: N,L17: 20,M17:,N17:,O17:,P17:,Q17:,R17:,S17:,T17:,U17:,V17:
A18:,B18:,C18:,D18:,E18:,F18: System,G18: Display,H18: Ngày tạo,I18: M,J18: Date,K18: N,L18: 20,M18:,N18:,O18:,P18:,Q18:,R18:,S18:,T18:,U18:,V18:
A19:,B19:,C19:,D19:,E19:,F19: System,G19: Display,H19: Tiêu đề,I19: M,J19: Text,K19: N,L19: 150,M19:,N19:,O19:,P19:,Q19:,R19:,S19:,T19:,U19:,V19:
A20:,B20:,C20:,D20:,E20:,F20: System,G20: Display,H20: Người tạo,I20: M,J20: Text,K20: N,L20: 20,M20:,N20:,O20:,P20:,Q20:,R20:,S20:,T20:,U20:,V20:
A21:,B21:,C21:,D21:,E21:,F21: System,G21: Display,H21: Trạng thái yêu cầu,I21: M,J21: Text,K21: N,L21: 20,M21:,N21:,O21:,P21:,Q21:,R21:,S21:,T21:,U21:,V21:
A22:,B22:,C22:,D22:,E22:,F22: System,G22: Display,H22: Người xử lý,I22: O,J22: Text,K22: N,L22: 20,M22:,N22:,O22:,P22:,Q22:,R22:,S22:,T22:,U22:,V22:
A23:,B23:,C23:,D23:,E23:,F23: System,G23: Display,H23: Ngày xác nhận,I23: O,J23: Date,K23: N,L23: 20,M23:,N23:,O23:,P23:,Q23:,R23:,S23:,T23:,U23:,V23:
A24:,B24: 3. Chọn và view yêu cầu,C24: Approver,D24:,E24:,F24: User,G24: Select,H24: Yêu cầu,I24:,J24:,K24:,L24:,M24:,N24:,O24:,P24:,Q24:,R24:,S24:,T24:,U24:,V24:
A25:,B25:,C25:,D25:,E25: Thông tin chung,F25:,G25:,H25:,I25:,J25:,K25:,L25:,M25:,N25:,O25:,P25:,Q25:,R25:,S25:,T25:,U25:,V25:
A26:,B26:,C26:,D26:,E26:,F26: System,G26: Display,H26: Số yêu cầu,I26: M,J26: Text,K26: N,L26: 50,M26: CK.YY.xxxx,N26:,O26:,P26:,Q26: YY = Year, xxxx = số chạy từ 1-9999 không dùng lại,R26:,S26:,T26:,U26:,V26:
A27:,B27:,C27:,D27:,E27:,F27: System,G27: Display,H27: Ngày tạo,I27: M,J27: Date,K27: N,L27: 50,M27: MM.DD.YYYY,N27: Today,O27:,P27:,Q27:,R27:,S27:,T27:,U27:,V27:
A28:,B28:,C28:,D28:,E28:,F28: User,G28: Input,H28: Tiêu đề,I28: O,J28: Text,K28: Y,L28: 150,M28:,N28:,O28:,P28:,Q28:,R28:,S28:,T28:,U28:,V28:
A29:,B29:,C29:,D29:,E29:,F29: User,G29: Select,H29: Thêm tài sản,I29: M,J29: Button,K29: N,L29:,M29:,N29:,O29:,P29:,Q29:,R29:,S29:,T29:,U29:,V29:
A30:,B30:,C30:,D30:,E30: Tìm kiếm tài sản,F30:,G30:,H30:,I30:,J30:,K30:,L30:,M30:,N30:,O30:,P30:,Q30:,R30:,S30:,T30:,U30:,V30:
A31:,B31:,C31:,D31:,E31:,F31: User,G31: Input,H31: Mã tài sản,I31: O,J31: Text,K31: N,L31: 20,M31:,N31:,O31:,P31:,Q31:,R31:,S31:,T31:,U31:,V31:
A32:,B32:,C32:,D32:,E32:,F32: User,G32: Input,H32: Tên tài sản,I32: O,J32: Text,K32: Y,L32: 20,M32:,N32:,O32:,P32:,Q32:,R32:,S32:,T32:,U32:,V32:
A33:,B33:,C33:,D33:,E33:,F33: User,G33: Select,H33: Phân loại tài sản,I33: O,J33: List,K33: N,L33: 20,M33:,N33:,O33:,P33:,Q33:,R33:,S33:,T33:,U33:,V33:
A34:,B34:,C34:,D34:,E34:,F34: User,G34: Select,H34: Nhóm tài sản,I34: O,J34: List,K34: N,L34: 20,M34:,N34:,O34:,P34:,Q34:,R34:,S34:,T34:,U34:,V34:
A35:,B35:,C35:,D35:,E35:,F35: User,G35: Input,H35: PO number,I35: O,J35: Text,K35: Y,L35: 20,M35:,N35:,O35:,P35:,Q35:,R35:,S35:,T35:,U35:,V35:
A36:,B36:,C36:,D36:,E36:,F36: User,G36: Select,H36: Trạng thái TS,I36: O,J36: List,K36: N,L36: 50,M36:,N36:,O36:,P36:,Q36:,R36:,S36:,T36:,U36:,V36:
A37:,B37:,C37:,D37:,E37:,F37: User,G37: Select,H37: Tên nhà cung cấp,I37: O,J37: List,K37: N,L37: 50,M37:,N37:,O37:,P37:,Q37:,R37:,S37:,T37:,U37:,V37:
A38:,B38:,C38:,D38:,E38:,F38: User,G38: Select,H38: Vị trí đặt tài sản,I38: O,J38: Text,K38: N,L38: 100,M38:,N38:,O38:,P38:,Q38:,R38:,S38:,T38:,U38:,V38:
A39:,B39:,C39:,D39:,E39: DS kết quả tìm kiếm,F39:,G39:,H39:,I39:,J39:,K39:,L39:,M39:,N39:,O39:,P39:,Q39:,R39:,S39:,T39:,U39:,V39:
A40:,B40:,C40:,D40:,E40:,F40: System,G40: Display,H40: Mã tài sản,I40: M,J40:,K40: N,L40:,M40:,N40:,O40:,P40:,Q40:,R40:,S40:,T40:,U40:,V40:
A41:,B41:,C41:,D41:,E41:,F41: System,G41: Display,H41: Tên tài sản,I41: M,J41:,K41: N,L41:,M41:,N41:,O41:,P41:,Q41:,R41:,S41:,T41:,U41:,V41:
A42:,B42:,C42:,D42:,E42:,F42: System,G42: Display,H42: Phân loại tài sản,I42: M,J42:,K42: N,L42:,M42:,N42:,O42:,P42:,Q42:,R42:,S42:,T42:,U42:,V42:
A43:,B43:,C43:,D43:,E43:,F43: System,G43: Display,H43: Nhóm tài sản,I43: M,J43:,K43: N,L43:,M43:,N43:,O43:,P43:,Q43:,R43:,S43:,T43:,U43:,V43:
A44:,B44:,C44:,D44:,E44:,F44: User,G44: Input,H44: Tên kho,I44: O,J44:,K44: N,L44:,M44:,N44:,O44:,P44:,Q44: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R44:,S44:,T44:,U44:,V44:
A45:,B45:,C45:,D45:,E45:,F45: System,G45: Display,H45: Đơn vị sử dụng,I45: O,J45:,K45: N,L45:,M45:,N45:,O45:,P45:,Q45: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R45:,S45:,T45:,U45:,V45:
A46:,B46:,C46:,D46:,E46:,F46: System,G46: Display,H46: Người sử dụng,I46: O,J46:,K46: N,L46:,M46:,N46:,O46:,P46:,Q46: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R46:,S46:,T46:,U46:,V46:
A47:,B47:,C47:,D47:,E47:,F47: System,G47: Display,H47: Nguyên giá TS (VAT incl),I47: M,J47:,K47: N,L47:,M47:,N47:,O47:,P47:,Q47: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R47:,S47:,T47:,U47:,V47:
A48:,B48:,C48:,D48:,E48:,F48: System,G48: Display,H48: Trạng thái tài sản,I48: O,J48:,K48: N,L48:,M48:,N48:,O48:,P48:,Q48: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R48:,S48:,T48:,U48:,V48:
A49:,B49:,C49:,D49:,E49:,F49: System,G49: Display,H49: PO number,I49: M,J49:,K49: N,L49:,M49:,N49:,O49:,P49:,Q49:,R49:,S49:,T49:,U49:,V49:
A50:,B50:,C50:,D50:,E50:,F50: System,G50: Display,H50: CAT2,I50: O,J50:,K50: N,L50:,M50:,N50:,O50:,P50:,Q50: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R50:,S50:,T50:,U50:,V50:
A51:,B51:,C51:,D51:,E51:,F51: System,G51: Display,H51: Group name,I51: O,J51:,K51: N,L51:,M51:,N51:,O51:,P51:,Q51: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R51:,S51:,T51:,U51:,V51:
A52:,B52:,C52:,D52:,E52:,F52: System,G52: Display,H52: Mô tả TS,I52: M,J52:,K52: N,L52:,M52:,N52:,O52:,P52:,Q52: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R52:,S52:,T52:,U52:,V52:
A53:,B53:,C53:,D53:,E53:,F53: System,G53: Display,H53: Item code,I53: O,J53:,K53: N,L53:,M53:,N53:,O53:,P53:,Q53:,R53:,S53:,T53:,U53:,V53:
A54:,B54:,C54:,D54:,E54:,F54: System,G54: Display,H54: Mã TS liên quan,I54: O,J54:,K54: N,L54:,M54:,N54:,O54:,P54:,Q54: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R54:,S54:,T54:,U54:,V54:
A55:,B55:,C55:,D55:,E55:,F55: System,G55: Display,H55: Mô tả TS liên quan,I55: O,J55:,K55: N,L55:,M55:,N55:,O55:,P55:,Q55: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R55:,S55:,T55:,U55:,V55:
A56:,B56:,C56:,D56:,E56:,F56: System,G56: Display,H56: Mã nhân viên,I56: O,J56:,K56: N,L56:,M56:,N56:,O56:,P56:,Q56: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R56:,S56:,T56:,U56:,V56:
A57:,B57:,C57:,D57:,E57:,F57: System,G57: Display,H57: Địa chỉ đặt TS,I57: O,J57:,K57: N,L57:,M57:,N57:,O57:,P57:,Q57: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R57:,S57:,T57:,U57:,V57:
A58:,B58:,C58:,D58:,E58:,F58: System,G58: Display,H58: Tầng đặt TS,I58: O,J58:,K58: N,L58:,M58:,N58:,O58:,P58:,Q58: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R58:,S58:,T58:,U58:,V58:
A59:,B59:,C59:,D59:,E59:,F59: System,G59: Display,H59: Phòng đặt TS,I59: O,J59:,K59: N,L59:,M59:,N59:,O59:,P59:,Q59: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R59:,S59:,T59:,U59:,V59:
A60:,B60:,C60:,D60:,E60:,F60: System,G60: Display,H60: Ngày kết thúc bảo hành,I60: O,J60:,K60: N,L60:,M60:,N60:,O60:,P60:,Q60: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R60:,S60:,T60:,U60:,V60:
A61:,B61:,C61:,D61:,E61:,F61: System,G61: Display,H61: Công ty bảo hành,I61: O,J61:,K61: N,L61:,M61:,N61:,O61:,P61:,Q61: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R61:,S61:,T61:,U61:,V61:
A62:,B62:,C62:,D62:,E62:,F62: System,G62: Display,H62: Tên người liên hệ bảo hành,I62: O,J62:,K62: N,L62:,M62:,N62:,O62:,P62:,Q62: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R62:,S62:,T62:,U62:,V62:
A63:,B63:,C63:,D63:,E63:,F63: System,G63: Display,H63: Điện thoại người liên hệ,I63: O,J63:,K63: N,L63:,M63:,N63:,O63:,P63:,Q63: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R63:,S63:,T63:,U63:,V63:
A64:,B64:,C64:,D64:,E64:,F64: System,G64: Display,H64: Mã Yêu cầu,I64: O,J64:,K64: N,L64:,M64:,N64:,O64:,P64:,Q64: Ẩn trên màn hình, user có thẻ config hiển thị trường thông tin,R64:,S64:,T64:,U64:,V64:
A65:,B65:,C65:,D65:,E65: DS tài sản điều chuyển,F65:,G65:,H65:,I65:,J65:,K65:,L65:,M65:,N65:,O65:,P65:,Q65:,R65:,S65:,T65:,U65:,V65:
A66:,B66:,C66:,D66:,E66:,F66: System,G66: Display,H66: Mã tài sản,I66: M,J66:,K66: N,L66:,M66:,N66:,O66:,P66:,Q66:,R66:,S66:,T66:,U66:,V66:
A67:,B67:,C67:,D67:,E67:,F67: System,G67: Display,H67: Tên Tài sản,I67: M,J67:,K67: N,L67:,M67:,N67:,O67:,P67:,Q67:,R67:,S67:,T67:,U67:,V67:
A68:,B68:,C68:,D68:,E68:,F68: System/User,G68: Display/Edit,H68: Mô tả TS,I68: M,J68:,K68: N,L68:,M68:,N68:,O68:,P68:,Q68:,R68:,S68:,T68:,U68:,V68:
A69:,B69:,C69:,D69:,E69:,F69: System,G69: Display,H69: Trạng thái TS,I69: O,J69:,K69: N,L69:,M69:,N69:,O69:,P69:,Q69:,R69:,S69:,T69:,U69:,V69:
A70:,B70:,C70:,D70:,E70:,F70: System,G70: Display,H70: Phân nhóm TS (group name),I70: M,J70:,K70: N,L70:,M70:,N70:,O70:,P70:,Q70:,R70:,S70:,T70:,U70:,V70:
A71:,B71:,C71:,D71:,E71:,F71: System,G71: Display,H71: Nhóm TS (CAT1),I71: M,J71:,K71: N,L71:,M71:,N71:,O71:,P71:,Q71:,R71:,S71:,T71:,U71:,V71:
A72:,B72:,C72:,D72:,E72:,F72: System,G72: Display,H72: Số PO,I72: M,J72:,K72: N,L72:,M72:,N72:,O72:,P72:,Q72:,R72:,S72:,T72:,U72:,V72:
A73:,B73:,C73:,D73:,E73:,F73: System,G73: Display,H73: Tên nhà cung cấp,I73: M,J73:,K73: N,L73:,M73:,N73:,O73:,P73:,Q73:,R73:,S73:,T73:,U73:,V73:
A74:,B74:,C74:,D74:,E74:,F74: System,G74: Display,H74: Nguyên giá TS (VAT incl),I74: M,J74:,K74: N,L74:,M74:,N74:,O74:,P74:,Q74:,R74:,S74:,T74:,U74:,V74:
A75:,B75:,C75:,D75:,E75:,F75: System,G75: Display,H75: Mã TS liên quan,I75: O,J75:,K75: N,L75:,M75:,N75:,O75:,P75:,Q75:,R75:,S75:,T75:,U75:,V75:
A76:,B76:,C76:,D76:,E76:,F76: System,G76: Display,H76: Mô tả TS liên quan,I76: O,J76:,K76: N,L76:,M76:,N76:,O76:,P76:,Q76:,R76:,S76:,T76:,U76:,V76:
A77:,B77:,C77:,D77:,E77:,F77: System,G77: Display,H77: Tên người sử dụng,I77: O,J77:,K77: N,L77:,M77:,N77:,O77:,P77:,Q77:,R77:,S77:,T77:,U77:,V77:
A78:,B78:,C78:,D78:,E78:,F78: System,G78: Display,H78: Tên đơn vị,I78: O,J78:,K78: N,L78:,M78:,N78:,O78:,P78:,Q78:,R78:,S78:,T78:,U78:,V78:
A79:,B79:,C79:,D79:,E79:,F79: System,G79: Display,H79: Đơn vị sử dụng cha,I79: M,J79:,K79: N,L79:,M79:,N79:,O79:,P79:,Q79:,R79:,S79:,T79:,U79:,V79:
A80:,B80:,C80:,D80:,E80:,F80: System,G80: Display,H80: Mã nhân viên,I80: O,J80:,K80: N,L80:,M80:,N80:,O80:,P80:,Q80:,R80:,S80:,T80:,U80:,V80:
A81:,B81:,C81:,D81:,E81:,F81: System,G81: Display,H81: Email nhân viên,I81: O,J81:,K81: N,L81:,M81:,N81:,O81:,P81:,Q81:,R81:,S81:,T81:,U81:,V81:
A82:,B82:,C82:,D82:,E82:,F82: System,G82: Display,H82: Địa chỉ đặt TS,I82: O,J82:,K82: N,L82:,M82:,N82:,O82:,P82:,Q82:,R82:,S82:,T82:,U82:,V82:
A83:,B83:,C83:,D83:,E83:,F83: System,G83: Display,H83: Tầng đặt TS,I83: O,J83:,K83: N,L83:,M83:,N83:,O83:,P83:,Q83:,R83:,S83:,T83:,U83:,V83:
A84:,B84:,C84:,D84:,E84:,F84: System,G84: Display,H84: Phòng đặt TS,I84: O,J84:,K84: N,L84:,M84:,N84:,O84:,P84:,Q84:,R84:,S84:,T84:,U84:,V84:
A85:,B85:,C85:,D85:,E85:,F85: System,G85: Display,H85: Ngày bắt đầu bảo hành,I85: O,J85:,K85: N,L85:,M85:,N85:,O85:,P85:,Q85:,R85:,S85:,T85:,U85:,V85:
A86:,B86:,C86:,D86:,E86:,F86: System,G86: Display,H86: Thời hạn bảo hành,I86: O,J86:,K86: N,L86:,M86:,N86:,O86:,P86:,Q86:,R86:,S86:,T86:,U86:,V86:
A87:,B87:,C87:,D87:,E87:,F87: System,G87: Display,H87: Ngày kết thúc bảo hành,I87: O,J87:,K87: N,L87:,M87:,N87:,O87:,P87:,Q87: = Ngày bắt đầu bảo hành + thời hạn bảo hành,R87:,S87:,T87:,U87:,V87:
A88:,B88:,C88:,D88:,E88:,F88: System,G88: Display,H88: Công ty bảo hành,I88: O,J88:,K88: N,L88:,M88:,N88:,O88:,P88:,Q88:,R88:,S88:,T88:,U88:,V88:
A89:,B89:,C89:,D89:,E89:,F89: System,G89: Display,H89: Tên người liên hệ bảo hành,I89: O,J89:,K89: N,L89:,M89:,N89:,O89:,P89:,Q89:,R89:,S89:,T89:,U89:,V89:
A90:,B90:,C90:,D90:,E90:,F90: System,G90: Display,H90: Điện thoại người liên hệ,I90: O,J90:,K90: N,L90:,M90:,N90:,O90:,P90:,Q90:,R90:,S90:,T90:,U90:,V90:
A91:,B91:,C91:,D91:,E91:,F91: System,G91: Display,H91: Ngày bắt đầu sử dụng,I91: O,J91:,K91: N,L91:,M91:,N91:,O91:,P91:,Q91: Ts từ EMS: Tự động đồng bộ ngày PO = ngày sử dụng.,R91:,S91:,T91:,U91:,V91:
A92:,B92:,C92:,D92:,E92: Thông tin kho đi,F92:,G92:,H92:,I92:,J92:,K92:,L92:,M92:,N92:,O92:,P92:,Q92:,R92:,S92:,T92:,U92:,V92:
A93:,B93:,C93:,D93:,E93:,F93: System,G93: Display,H93: Tên kho,I93: M,J93: List,K93: N,L93: 50,M93:,N93:,O93:,P93:,Q93:,R93:,S93:,T93:,U93:,V93:
A94:,B94:,C94:,D94:,E94:,F94: System,G94: Display,H94: Địa chỉ kho,I94: M,J94: Text,K94: N,L94: 50,M94:,N94:,O94:,P94: OMS,Q94: Tự động nhận diện, hiển thị theo Tên kho,R94:,S94:,T94:,U94:,V94:
A95:,B95:,C95:,D95:,E95:,F95: System,G95: Display,H95: Quản lý kho,I95: M,J95: Text,K95: N,L95: 50,M95:,N95:,O95:,P95: OMS,Q95: Tự động nhận diện, hiển thị theo Tên kho (Tên | Phòng ban | Email),R95:,S95:,T95:,U95:,V95:
A96:,B96:,C96:,D96:,E96: Thông tin kho nhập,F96:,G96:,H96:,I96:,J96:,K96:,L96:,M96:,N96:,O96:,P96:,Q96:,R96:,S96:,T96:,U96:,V96:
A97:,B97:,C97:,D97:,E97:,F97: User,G97: Select,H97: Tên kho,I97: M,J97: List,K97: N,L97: 50,M97:,N97:,O97:,P97:,Q97:,R97:,S97:,T97:,U97:,V97:
A98:,B98:,C98:,D98:,E98:,F98: System,G98: Display,H98: Địa chỉ kho,I98: M,J98: Text,K98: N,L98: 50,M98:,N98:,O98:,P98: OMS,Q98: Tự động nhận diện, hiển thị theo Tên kho,R98:,S98:,T98:,U98:,V98:
A99:,B99:,C99:,D99:,E99:,F99: System,G99: Display,H99: Quản lý kho,I99: M,J99: Text,K99: N,L99: 50,M99:,N99:,O99:,P99: OMS,Q99: Tự động nhận diện, hiển thị theo Tên kho (Tên | Phòng ban | Email),R99:,S99:,T99:,U99:,V99:
A100:,B100:,C100:,D100:,E100: Thông tin đầu mối giao hàng,F100:,G100:,H100:,I100:,J100:,K100:,L100:,M100:,N100:,O100:,P100:,Q100:,R100:,S100:,T100:,U100:,V100:
A101:,B101:,C101:,D101:,E101:,F101: User,G101: Input,H101: Đầu mối,I101: M,J101: Text,K101: N,L101: 50,M101:,N101:,O101:,P101:,Q101:,R101:,S101:,T101:,U101:,V101:
A102:,B102:,C102:,D102:,E102:,F102: User,G102: Input,H102: Số điện thoại,I102: M,J102: Number,K102: N,L102: 52,M102:,N102:,O102:,P102:,Q102:,R102:,S102:,T102:,U102:,V102:
A103:,B103:,C103:,D103:,E103:,F103: User,G103: Input,H103: Thời gian bàn giao,I103: O,J103: Date,K103: N,L103: 50,M103:,N103:,O103:,P103:,Q103:,R103:,S103:,T103:,U103:,V103:
A104:,B104:,C104:,D104:,E104: Ghi chú,F104: User,G104: Input,H104: Ghi chú,I104: M,J104: Text,K104: N,L104: 150,M104:,N104:,O104:,P104:,Q104:,R104:,S104:,T104:,U104:,V104:
A105:,B105:,C105:,D105:,E105: Hồ sơ đính kèm,F105:,G105:,H105:,I105:,J105:,K105:,L105:,M105:,N105:,O105:,P105:,Q105:,R105:,S105:,T105:,U105:,V105:
A106:,B106:,C106:,D106:,E106:,F106: User,G106: Select,H106: Thêm,I106: M,J106: Button,K106: Y,L106:,M106:,N106:,O106:,P106:,Q106:,R106:,S106:,T106:,U106:,V106:
A107:,B107:,C107:,D107:,E107:,F107: User,G107: Select,H107: File,I107: M,J107:,K107: Y,L107:,M107:,N107:,O107:,P107:,Q107:,R107:,S107:,T107:,U107:,V107:
A108:,B108:,C108:,D108:,E108:,F108: System,G108: Display,H108: Tên thư mục,I108: M,J108:,K108: N,L108:,M108:,N108:,O108:,P108:,Q108:,R108:,S108:,T108:,U108:,V108:
A109:,B109:,C109:,D109:,E109:,F109: System,G109: Display,H109: Tên tài liệu,I109: M,J109: Text,K109: N,L109: 150,M109:,N109:,O109:,P109:,Q109:,R109:,S109:,T109:,U109:,V109:
A110:,B110:,C110:,D110:,E110:,F110: System,G110: Display,H110: Ngày,I110: M,J110:,K110: N,L110:,M110:,N110:,O110:,P110:,Q110:,R110:,S110:,T110:,U110:,V110:
A111:,B111:,C111:,D111:,E111:,F111: System,G111: Display,H111: Tên,I111: M,J111:,K111: N,L111:,M111:,N111:,O111:,P111:,Q111:,R111:,S111:,T111:,U111:,V111:
