Sheet: 5.3.1b
A1: [<<<](→0),B1:,C1:,D1:,E1:,F1:,G1:,H1:,I1:,J1:,K1:,L1:,M1:,N1:,O1:,P1:,Q1:,R1:,S1:,T1:,U1:,V1:
A30:,B30:,C30:,D30:,E30: DS tài sản nhập kho,F30:,G30:,H30:,I30:,J30:,K30:,L30:,M30:,N30:,O30:,P30:,Q30:,R30:,S30:,T30:,U30:,V30:
A31:,B31:,C31:,D31:,E31:,F31: System,G31: Display,H31: Mã tài sản,I31: M,J31:,K31: N,L31:,M31:,N31:,O31:,P31:,Q31: Hiển thị mặc định,R31:,S31:,T31:,U31:,V31:
A32:,B32:,C32:,D32:,E32:,F32: System,G32: Display,H32: Tên Tài sản,I32: M,J32:,K32: N,L32:,M32:,N32:,O32:,P32:,Q32: Hiển thị mặc định,R32:,S32:,T32:,U32:,V32:
A33:,B33:,C33:,D33:,E33:,F33: System,G33: Display,H33: Mô tả TS,I33: M,J33:,K33: N,L33:,M33:,N33:,O33:,P33:,Q33: Hiển thị mặc định,R33:,S33:,T33:,U33:,V33:
A34:,B34:,C34:,D34:,E34:,F34: System,G34: Display,H34: Trạng thái TS,I34: M,J34:,K34: N,L34:,M34:,N34:,O34:,P34:,Q34: Hiển thị mặc định,R34:,S34:,T34:,U34:,V34:
A35:,B35:,C35:,D35:,E35:,F35: System,G35: Display,H35: Phân nhóm TS (group name),I35: M,J35:,K35: N,L35:,M35:,N35:,O35:,P35:,Q35: Hiển thị mặc định,R35:,S35:,T35:,U35:,V35:
A36:,B36:,C36:,D36:,E36:,F36: System,G36: Display,H36: Nhóm TS (CAT1),I36: M,J36:,K36: N,L36:,M36:,N36:,O36:,P36:,Q36: Hiển thị mặc định,R36:,S36:,T36:,U36:,V36:
A37:,B37:,C37:,D37:,E37:,F37: System,G37: Display,H37: Số PO,I37: M,J37:,K37: N,L37:,M37:,N37:,O37:,P37:,Q37: Hiển thị mặc định,R37:,S37:,T37:,U37:,V37:
A38:,B38:,C38:,D38:,E38:,F38: System,G38: Display,H38: Tên nhà cung cấp,I38: O,J38:,K38: N,L38:,M38:,N38:,O38:,P38:,Q38: Ẩn hiện tùy biến,R38:,S38:,T38:,U38:,V38:
A39:,B39:,C39:,D39:,E39:,F39: System,G39: Display,H39: Nguyên giá TS (VAT incl),I39: M,J39:,K39: N,L39:,M39:,N39:,O39:,P39:,Q39: Ẩn hiện tùy biến,R39:,S39:,T39:,U39:,V39:
