Sheet: 5.6.2b
A1: [<<<](→0),B1:,C1:,D1:,E1:,F1:,G1:,H1:,I1:,J1:,K1:,L1:,M1:,N1:,O1:,P1:,Q1:,R1:,S1:,T1:,U1:,V1:
A112:,B112:,C112:,D112:,E112:,F112: System,G112: Display,H112: Tên,I112: M,J112:,K112: N,L112:,M112:,N112:,O112:,P112:,Q112:,R112:,S112:,T112:,U112:,V112:
A113:,B113:,C113:,D113:,E113:,F113: System,G113: Display,H113: Dung lượng,I113: M,J113:,K113: N,L113:,M113:,N113:,O113:,P113:,Q113:,R113:,S113:,T113:,U113:,V113:
A114:,B114:,C114:,D114:,E114:,F114: System,G114: Display,H114: Tên file,I114: M,J114:,K114: Y,L114:,M114:,N114:,O114:,P114:,Q114:,R114:,S114:,T114:,U114:,V114:
A115:,B115:,C115:,D115:,E115: Quyết định,F115:,G115:,H115:,I115:,J115:,K115:,L115:,M115:,N115:,O115:,P115:,Q115:,R115:,S115:,T115:,U115:,V115:
A116:,B116:,C116:,D116:,E116:,F116: User,G116: Select,H116: Từ chối,I116: M,J116: Button,K116: N,L116:,M116:,N116:,O116:,P116:,Q116:,R116:,S116:,T116:,U116:,V116:
A117:,B117:,C117:,D117:,E117:,F117: User,G117: Select,H117: Phê duyệt,I117: M,J117: Button,K117: N,L117:,M117:,N117:,O117:,P117:,Q117:,R117:,S117:,T117:,U117:,V117:
A118:,B118: 4. Nhập lý do từ chối,C118: Approver,D118:,E118:,F118:,G118:,H118:,I118:,J118:,K118:,L118:,M118:,N118:,O118:,P118:,Q118:,R118:,S118:,T118:,U118:,V118:
A119:,B119:,C119:,D119:,E119:,F119: User,G119: Input,H119: Lý do từ chối,I119: O,J119: Text,K119: Y,L119: 150,M119:,N119:,O119:,P119:,Q119:,R119:,S119:,T119:,U119:,V119:
A120:,B120: 5. Cập nhật trạng thái yêu cầu,C120: Hệ thống,D120:,E120:,F120:,G120:,H120:,I120:,J120:,K120:,L120:,M120:,N120:,O120:,P120:,Q120:,R120:,S120:,T120:,U120:,V120:
A121:,B121:,C121:,D121:,E121:,F121: System,G121: Update,H121: RQ điều chuyển kho,I121:,J121:,K121:,L121:,M121:,N121:,O121:,P121:,Q121:,R121: Từ chối,S121:,T121:,U121:,V121:
A122:,B122: 6. Unlock tài sản,C122: Hệ thống,D122:,E122:,F122:,G122:,H122:,I122:,J122:,K122:,L122:,M122:,N122:,O122:,P122:,Q122:,R122:,S122:,T122:,U122:,V122:
A123:,B123:,C123:,D123:,E123:,F123: System,G123: Update,H123: Trạng thái lock tài sản,I123:,J123:,K123:,L123:,M123:,N123:,O123:,P123:,Q123:,R123:,S123:,T123:,U123:,V123:
A124:,B124: 7. Cập nhật tasklist,C124: Hệ thống,D124:,E124:,F124:,G124:,H124:,I124:,J124:,K124:,L124:,M124:,N124:,O124:,P124:,Q124:,R124:,S124:,T124:,U124:,V124:
